导出, KERNEL32.dll
序列	地址	名字
0000027A	7C82CA57	OpenSemaphoreA
0000027B	7C82E31F	OpenSemaphoreW
0000027C	7C82FC08	OpenThread
0000027D	7C862C90	OpenWaitableTimerA
0000027E	7C862B25	OpenWaitableTimerW
0000027F	7C85AD4C	OutputDebugStringA
00000280	7C85B405	OutputDebugStringW
00000281	7C8745CD	PeekConsoleInputA
00000282	7C8745F0	PeekConsoleInputW
00000283	7C860977	PeekNamedPipe
00000284	7C812792	PostQueuedCompletionStatus
00000285	7C86C228	PrepareTape
00000286	7C82005F	PrivCopyFileExW
00000287	7C85E0C1	PrivMoveFileIdentityW
00000288	7C864F55	Process32First
00000289	7C864E9C	Process32FirstW
0000028A	7C8650C8	Process32Next
0000028B	7C865027	Process32NextW
0000028C	7C813029	ProcessIdToSessionId
0000028D	7C82C06E	PulseEvent
0000028E	7C866E45	PurgeComm
0000028F	7C81637B	QueryActCtxW
00000290	7C8091E7	QueryDepthSList
00000291	7C85D344	QueryDosDeviceA
00000292	7C821D8D	QueryDosDeviceW
00000293	7C82AFC9	QueryInformationJobObject
00000294	7C839608	QueryMemoryResourceNotification
00000295	7C80A4C7	QueryPerformanceCounter
00000296	7C82FA4E	QueryPerformanceFrequency
00000297	7C85C6F4	QueryWin31IniFilesMappedToRegistry
00000298	7C82C092	QueueUserAPC
00000299	7C830A6A	QueueUserWorkItem
0000029A	7C812AA9	RaiseException
0000029B	7C872B5D	ReadConsoleA
0000029C	7C874613	ReadConsoleInputA
0000029D	7C874659	ReadConsoleInputExA
0000029E	7C87467D	ReadConsoleInputExW
0000029F	7C874636	ReadConsoleInputW
000002A0	7C873945	ReadConsoleOutputA
000002A1	7C873E65	ReadConsoleOutputAttribute
000002A2	7C873E19	ReadConsoleOutputCharacterA
000002A3	7C873E3F	ReadConsoleOutputCharacterW
000002A4	7C873921	ReadConsoleOutputW
000002A5	7C872BAC	ReadConsoleW
000002A6	7C831637	ReadDirectoryChangesW
000002A7	7C801812	ReadFile
000002A8	7C82BD0B	ReadFileEx
000002A9	7C82DE61	ReadFileScatter
000002AA	7C8021D0	ReadProcessMemory
000002AB	7C875BF9	RegisterConsoleIME
000002AC	7C875A09	RegisterConsoleOS2
000002AD	7C872C02	RegisterConsoleVDM
000002AE	7C81702E	RegisterWaitForInputIdle
000002AF	7C8211CD	RegisterWaitForSingleObject
000002B0	7C82B086	RegisterWaitForSingleObjectEx
000002B1	7C85F632	RegisterWowBaseHandlers
000002B2	7C868AE9	RegisterWowExec
000002B3	7C8130FF	ReleaseActCtx
000002B4	7C8024B7	ReleaseMutex
000002B5	7C80C04D	ReleaseSemaphore
000002B6	7C85C1F1	RemoveDirectoryA
000002B7	7C836F8B	RemoveDirectoryW
000002B8	7C85953C	RemoveLocalAlternateComputerNameA
000002B9	7C85945B	RemoveLocalAlternateComputerNameW
000002BA	7C809200	RemoveVectoredExceptionHandler
000002BB	7C836C6C	ReplaceFile
000002BC	7C85F2DF	ReplaceFileA
000002BD	7C836C6C	ReplaceFileW
000002BE	7C861BD7	RequestDeviceWakeup
000002BF	7C861B5C	RequestWakeupLatency
000002C0	7C80A0DB	ResetEvent
000002C1	7C85F7C5	ResetWriteWatch
000002C2	7C809228	RestoreLastError
000002C3	7C832927	ResumeThread
000002C4	7C809247	RtlCaptureContext
000002C5	7C80925F	RtlCaptureStackBackTrace
000002C6	7C80927E	RtlFillMemory
000002C7	7C809292	RtlMoveMemory
000002C8	7C8092A6	RtlUnwind
000002C9	7C8092B6	RtlZeroMemory
000002CA	7C875061	ScrollConsoleScreenBufferA
000002CB	7C875085	ScrollConsoleScreenBufferW
000002CC	7C8217EA	SearchPathA
000002CD	7C80E77C	SearchPathW
000002CE	7C87A903	SetCPGlobal
000002CF	7C876C16	SetCalendarInfoA
000002D0	7C877E5B	SetCalendarInfoW
000002D1	7C859DD1	SetClientTimeZoneInformation
000002D2	7C86CCA5	SetComPlusPackageInstallStatus
000002D3	7C866ECF	SetCommBreak
000002D4	7C867FEB	SetCommConfig
000002D5	7C866EE7	SetCommMask
000002D6	7C866F86	SetCommState
000002D7	7C86728E	SetCommTimeouts
000002D8	7C858720	SetComputerNameA
000002D9	7C858838	SetComputerNameExA
000002DA	7C85869F	SetComputerNameExW
000002DB	7C858579	SetComputerNameW
000002DC	7C874BE8	SetConsoleActiveScreenBuffer
000002DD	7C875283	SetConsoleCP
000002DE	7C871B05	SetConsoleCommandHistoryMode
000002DF	7C81B2C3	SetConsoleCtrlHandler
000002E0	7C87302A	SetConsoleCursor
000002E1	7C874DC4	SetConsoleCursorInfo
000002E2	7C8758BF	SetConsoleCursorMode
000002E3	7C874D4A	SetConsoleCursorPosition
000002E4	7C8731E0	SetConsoleDisplayMode
000002E5	7C875125	SetConsoleFont
000002E6	7C872E29	SetConsoleHardwareState
000002E7	7C87519F	SetConsoleIcon
000002E8	7C871EE8	SetConsoleInputExeNameA
000002E9	7C81B08D	SetConsoleInputExeNameW
000002EA	7C872EA9	SetConsoleKeyShortcuts
000002EB	7C8757F9	SetConsoleLocalEUDC
000002EC	7C88033A	SetConsoleMaximumWindowSize
000002ED	7C872F70	SetConsoleMenuClose
000002EE	7C81AF28	SetConsoleMode
000002EF	7C876219	SetConsoleNlsMode
000002F0	7C871865	SetConsoleNumberOfCommandsA
000002F1	7C87184A	SetConsoleNumberOfCommandsW
000002F2	7C875A7D	SetConsoleOS2OemFormat
000002F3	7C8753A1	SetConsoleOutputCP
000002F4	7C873309	SetConsolePalette
000002F5	7C874CD0	SetConsoleScreenBufferSize
000002F6	7C8750A9	SetConsoleTextAttribute
000002F7	7C871BA1	SetConsoleTitleA
000002F8	7C82D9CD	SetConsoleTitleW
000002F9	7C874E91	SetConsoleWindowInfo
000002FA	7C8092CA	SetCriticalSectionSpinCount
000002FB	7C83610D	SetCurrentDirectoryA
000002FC	7C80F38E	SetCurrentDirectoryW
000002FD	7C867D51	SetDefaultCommConfigA
000002FE	7C867C59	SetDefaultCommConfigW
000002FF	7C85FDAF	SetDllDirectoryA
00000300	7C85FD19	SetDllDirectoryW
00000301	7C832076	SetEndOfFile
00000302	7C8334A8	SetEnvironmentVariableA
00000303	7C81025E	SetEnvironmentVariableW
00000304	7C80ACAF	SetErrorMode
00000305	7C80A0B7	SetEvent
00000306	7C836626	SetFileApisToANSI
00000307	7C81CDB6	SetFileApisToOEM
00000308	7C812822	SetFileAttributesA
00000309	7C8314DD	SetFileAttributesW
0000030A	7C810C2E	SetFilePointer
0000030B	7C821057	SetFilePointerEx
0000030C	7C85D89C	SetFileShortNameA
0000030D	7C85D7CF	SetFileShortNameW
0000030E	7C831CC0	SetFileTime
0000030F	7C85D779	SetFileValidData
00000310	7C85F59F	SetFirmwareEnvironmentVariableA
00000311	7C85F484	SetFirmwareEnvironmentVariableW
00000312	7C82146C	SetHandleContext
00000313	7C80CD37	SetHandleCount
00000314	7C82E19C	SetHandleInformation
00000315	7C82CAAF	SetInformationJobObject
00000316	7C876613	SetLastConsoleEventActive
00000317	7C8092EF	SetLastError
00000318	7C85979B	SetLocalPrimaryComputerNameA
00000319	7C859585	SetLocalPrimaryComputerNameW
0000031A	7C855CF9	SetLocalTime
0000031B	7C876A0B	SetLocaleInfoA
0000031C	7C877FB3	SetLocaleInfoW
0000031D	7C82CDE8	SetMailslotInfo
0000031E	7C861C27	SetMessageWaitingIndicator
0000031F	7C8313F4	SetNamedPipeHandleState
00000320	7C82C348	SetPriorityClass
00000321	7C862194	SetProcessAffinityMask
00000322	7C8622A4	SetProcessDEPPolicy
00000323	7C8621C4	SetProcessPriorityBoost
00000324	7C82C8FD	SetProcessShutdownParameters
00000325	7C8303D8	SetProcessWorkingSetSize
00000326	7C85FC88	SetSearchPathMode
00000327	7C81D37B	SetStdHandle
00000328	7C861B13	SetSystemPowerState
00000329	7C8598E8	SetSystemTime
0000032A	7C859AAE	SetSystemTimeAdjustment
0000032B	7C86C35E	SetTapeParameters
0000032C	7C86C186	SetTapePosition
0000032D	7C862D04	SetTermsrvAppInstallMode
0000032E	7C82FA82	SetThreadAffinityMask
0000032F	7C863C09	SetThreadContext
00000330	7C8392E5	SetThreadExecutionState
00000331	7C863EB0	SetThreadIdealProcessor
00000332	7C81B8F2	SetThreadLocale
00000333	7C80C1A8	SetThreadPriority
00000334	7C863B94	SetThreadPriorityBoost
00000335	7C81AF90	SetThreadUILanguage
00000336	7C859988	SetTimeZoneInformation
00000337	7C82B26E	SetTimerQueueTimer
00000338	7C84495D	SetUnhandledExceptionFilter
00000339	7C879D9C	SetUserGeoID
0000033A	7C868854	SetVDMCurrentDirectories
0000033B	7C861A55	SetVolumeLabelA
0000033C	7C861501	SetVolumeLabelW
0000033D	7C86B1D1	SetVolumeMountPointA
0000033E	7C86A4D5	SetVolumeMountPointW
0000033F	7C8096A1	SetWaitableTimer
00000340	7C86680A	SetupComm
00000341	7C8730A4	ShowConsoleCursor
00000342	7C8366C6	SignalObjectAndWait
00000343	7C80BD09	SizeofResource
00000344	7C802446	Sleep
00000345	7C8023A0	SleepEx
00000346	7C839762	SuspendThread
00000347	7C810712	SwitchToFiber
00000348	7C8329C2	SwitchToThread
00000349	7C810BBC	SystemTimeToFileTime
0000034A	7C82E9A9	SystemTimeToTzSpecificLocalTime
0000034B	7C86C437	TerminateJobObject
0000034C	7C801E1A	TerminateProcess
0000034D	7C81CB3B	TerminateThread
0000034E	7C81EFCE	TermsrvAppInstallMode
0000034F	7C86519A	Thread32First
00000350	7C86524E	Thread32Next
00000351	7C812E3F	TlsAlloc
00000352	7C813777	TlsFree
00000353	7C8097E0	TlsGetValue
00000354	7C809C65	TlsSetValue
00000355	7C864E5C	Toolhelp32ReadProcessMemory
00000356	7C8312ED	TransactNamedPipe
00000357	7C867339	TransmitCommChar
00000358	7C85FC26	TrimVirtualBuffer
00000359	7C80930A	TryEnterCriticalSection
0000035A	7C85A84B	TzSpecificLocalTimeToSystemTime
0000035B	7C85FF59	UTRegister
0000035C	7C8801FF	UTUnRegister
0000035D	7C863FCA	UnhandledExceptionFilter
0000035E	7C8322EC	UnlockFile
0000035F	7C83232B	UnlockFileEx
00000360	7C80BA14	UnmapViewOfFile
00000361	7C875CC6	UnregisterConsoleIME
00000362	7C82C008	UnregisterWait
00000363	7C83006A	UnregisterWaitEx
00000364	7C8707EA	UpdateResourceA
00000365	7C8706E3	UpdateResourceW
00000366	7C876624	VDMConsoleOperation
00000367	7C868F59	VDMOperationStarted
00000368	7C87BBD5	ValidateLCType
00000369	7C839828	ValidateLocale
0000036A	7C82EFC2	VerLanguageNameA
0000036B	7C82F04A	VerLanguageNameW
0000036C	7C80932B	VerSetConditionMask
0000036D	7C81ABE6	VerifyConsoleIoHandle
0000036E	7C85FEAF	VerifyVersionInfoA
0000036F	7C81FB26	VerifyVersionInfoW
00000370	7C809AF1	VirtualAlloc
00000371	7C809B12	VirtualAllocEx
00000372	7C85FC49	VirtualBufferExceptionHandler
00000373	7C809B84	VirtualFree
00000374	7C809BA2	VirtualFreeEx
00000375	7C82B13F	VirtualLock
00000376	7C801AD4	VirtualProtect
00000377	7C801A61	VirtualProtectEx
00000378	7C80BA71	VirtualQuery
00000379	7C80BA40	VirtualQueryEx
0000037A	7C85F69C	VirtualUnlock
0000037B	7C81338E	WTSGetActiveConsoleSessionId
0000037C	7C8673C3	WaitCommEvent
0000037D	7C85B458	WaitForDebugEvent
0000037E	7C80A0FD	WaitForMultipleObjects
0000037F	7C8095D8	WaitForMultipleObjectsEx
00000380	7C802530	WaitForSingleObject
00000381	7C802550	WaitForSingleObjectEx
00000382	7C860CA1	WaitNamedPipeA
00000383	7C82C674	WaitNamedPipeW
00000384	7C80A174	WideCharToMultiByte
00000385	7C86250D	WinExec
00000386	7C81CC5D	WriteConsoleA
00000387	7C873505	WriteConsoleInputA
00000388	7C872FE4	WriteConsoleInputVDMA
00000389	7C873007	WriteConsoleInputVDMW
0000038A	7C873528	WriteConsoleInputW
0000038B	7C873C85	WriteConsoleOutputA
0000038C	7C874031	WriteConsoleOutputAttribute
0000038D	7C873FE5	WriteConsoleOutputCharacterA
0000038E	7C87400B	WriteConsoleOutputCharacterW
0000038F	7C873C61	WriteConsoleOutputW
00000390	7C8354B4	WriteConsoleW
00000391	7C810E27	WriteFile
00000392	7C85D6D9	WriteFileEx
00000393	7C82DDB5	WriteFileGather
00000394	7C85CA54	WritePrivateProfileSectionA
00000395	7C85CA9B	WritePrivateProfileSectionW
00000396	7C835D84	WritePrivateProfileStringA
00000397	7C81EE4C	WritePrivateProfileStringW
00000398	7C85CDFB	WritePrivateProfileStructA
00000399	7C85CF3D	WritePrivateProfileStructW
0000039A	7C802213	WriteProcessMemory
0000039B	7C85D0CD	WriteProfileSectionA
0000039C	7C85D106	WriteProfileSectionW
0000039D	7C85D091	WriteProfileStringA
0000039E	7C8332E1	WriteProfileStringW
0000039F	7C86C2C8	WriteTapemark
000003A0	7C86C83B	ZombifyActCtx
000003A1	7C8353FE	_hread
000003A2	7C838B17	_hwrite
000003A3	7C834E94	_lclose
000003A4	7C8365D5	_lcreat
000003A5	7C835436	_llseek
000003A6	7C85F7F2	_lopen
000003A7	7C8353FE	_lread
000003A8	7C838B17	_lwrite
000003A9	7C834D71	lstrcat
000003AA	7C834D71	lstrcatA
000003AB	7C810FD2	lstrcatW
000003AC	7C830D7C	lstrcmp
000003AD	7C830D7C	lstrcmpA
000003AE	7C80AA6C	lstrcmpW
000003AF	7C80BB41	lstrcmpi
000003B0	7C80BB41	lstrcmpiA
000003B1	7C80AA36	lstrcmpiW
000003B2	7C80BEA1	lstrcpy
000003B3	7C80BEA1	lstrcpyA
000003B4	7C80BB04	lstrcpyW
000003B5	7C8101B1	lstrcpyn
000003B6	7C8101B1	lstrcpynA
000003B7	7C80BA8F	lstrcpynW
000003B8	7C80BE56	lstrlen
000003B9	7C80BE56	lstrlenA
000003BA	7C809AA9	lstrlenW

