导出, SHELL32.dll
序列	地址	名字
00000049	7D636EFA	SHCreateStdEnumFmtEtc
00000002	7D684D2E	SHDefExtractIconA
00000005	7D5D5701	SHDefExtractIconW
000000A8	7D6478EC	SHDestroyPropSheetExtArray
00000057	7D67ECDD	SHDoDragDrop
0000011A	7D636D9B	SHEmptyRecycleBinA
0000011B	7D636D31	SHEmptyRecycleBinW
0000011C	7D694127	SHEnableServiceObject
0000011D	7D662636	SHEnumerateUnreadMailAccountsW
0000011E	7D5D57B2	SHExtractIconsW
0000011F	7D640C0C	SHFileOperation
00000120	7D640C0C	SHFileOperationA
00000121	7D640924	SHFileOperationW
00000059	7D69E364	SHFindFiles
00000094	7D69CD52	SHFind_InitMenuPopup
00000078	7D643FAC	SHFlushClipboard
0000020D	7D5F81FE	SHFlushSFCache
00000122	7D6683D5	SHFormatDrive
000000C2	7D5BA98A	SHFree
00000123	7D6391B1	SHFreeNameMappings
0000020A	7D5BA5C4	SHFreeShared
000002ED	7D662AAD	SHGetAttributesFromDataObject
00000124	7D692538	SHGetDataFromIDListA
00000125	7D5FAB49	SHGetDataFromIDListW
00000126	7D5BBC28	SHGetDesktopFolder
00000127	7D643890	SHGetDiskFreeSpaceA
00000128	7D643890	SHGetDiskFreeSpaceExA
00000129	7D5C9BD1	SHGetDiskFreeSpaceExW
0000012A	7D6015E1	SHGetFileInfo
0000012B	7D6015E1	SHGetFileInfoA
0000012C	7D5FB083	SHGetFileInfoW
0000012D	7D5BF761	SHGetFolderLocation
0000012E	7D5FACA1	SHGetFolderPathA
0000012F	7D689B7C	SHGetFolderPathAndSubDirA
00000130	7D5E1C50	SHGetFolderPathAndSubDirW
00000131	7D5BF276	SHGetFolderPathW
00000132	7D6A3AFC	SHGetIconOverlayIndexA
00000133	7D6A3A24	SHGetIconOverlayIndexW
000002D6	7D5D6991	SHGetImageList
00000134	7D69415E	SHGetInstanceExplorer
00000135	7D5FB425	SHGetMalloc
00000136	7D6927B7	SHGetNewLinkInfo
000000B2	7D6927B7	SHGetNewLinkInfoA
000000B3	7D600B9A	SHGetNewLinkInfoW
00000137	7D604CC1	SHGetPathFromIDList
00000138	7D604CC1	SHGetPathFromIDListA
00000139	7D5C1050	SHGetPathFromIDListW
00000061	7D608E41	SHGetRealIDL
000002C4	7D5F464D	SHGetSetFolderCustomSettingsW
00000043	7D5BC8B4	SHGetSetSettings
0000013A	7D60FC3D	SHGetSettings
000002EC	7D6654C4	SHGetShellStyleHInstance
0000013B	7D5BF7E3	SHGetSpecialFolderLocation
0000013C	7D689B4E	SHGetSpecialFolderPathA
0000013D	7D5BB1E8	SHGetSpecialFolderPathW
0000013E	7D664E28	SHGetUnreadMailCountW
000000C0	7D68AE9E	SHHandleUpdateImage
0000013F	7D643A5F	SHHelpShortcuts_RunDLL
00000140	7D643A5F	SHHelpShortcuts_RunDLLA
00000141	7D643ABA	SHHelpShortcuts_RunDLLW
0000001B	7D5BE644	SHILCreateFromPath
00000142	7D6472F3	SHInvokePrinterCommandA
